G_IDX,G_NAME,G_ENAME,G_GENRE,G_COMPANY,G_SERVICE,G_PLATFORM,G_DATE,G_SCORE,G_IMG
33,소울스티스,Soulstice, 액션, Reply Game Studios, Modus Games," PS, XBOX, PC패키지",2022-09-20,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8270479980.jpg
34,디오필드 크로니클,The DioField Chronicle, RPG, 스퀘어에닉스, 스퀘어에닉스," PS, XBOX, switch, PC패키지",2022-09-22,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8261852164.jpg
35,그라운디드,Grounded, 어드벤쳐, 옵시디언, Xbox Game Studios," XBOX, PC패키지",2022-09-27,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8234217678.jpg
36,건담 에볼루션,GUNDAM EVOLUTION, FPS, 반다이남코 엔터테인먼트, 반다이남코 엔터테인먼트," PC온라인, PS, XBOX",2022-09-22,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8247528437.jpg
37,SCP: 시크릿 파일,SCP: Secret Files, 어드벤쳐, 게임쥬 스튜디오, 픽스메인," 인디, PC패키지",2022-09-13,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8264299662.jpg
38,연쇄청소부들,Serial Cleaners, 액션, Draw Distance, 505 게임즈," PS, XBOX, switch, PC패키지",2022-09-23,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8272953608.jpg
39,스플래툰3,Splatoon 3, 슈팅, 닌텐도, 한국닌텐도, switch,2022-09-09,0,https://static.inven.co.kr/column/webzine3/gamelogo/2021/i8247608939.jpg
40,스틸라이징,Steelrising, 액션, 스파이더스 스튜디오, 스파이더스 스튜디오," PS, XBOX, PC패키지",2022-09-08,0,https://static.inven.co.kr/column/webzine3/gamelogo/2020/i8279649589.jpg
41,몬케이지,-, 퍼즐, 옵틸루젼 스튜디오, X.D," 모바일, switch, PC패키지",2021-11-16,0,https://static.inven.co.kr/column/webzine3/gamelogo/2020/i8292905722.jpg
42,메탈: 헬싱어,Metal: Hellsinger, 슈팅, 아웃사이더, 펀콤," PS, XBOX, PC패키지",2022-09-15,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8231772763.png
43,타이니킨,Tinykin, 어드벤쳐, Splashteam, Splashteam," PS, XBOX, switch, PC패키지",2022-08-31,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8297844025.jpg
44,이모탈리티,IMMORTALITY, 시뮬레이션, Sam Barlow, Half Mermaid," XBOX, PC패키지",2022-08-31,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8293407388.jpg
45,세인츠 로우 리부트,Saints Row, 액션, 볼리션, 딥 실버," PS, XBOX, PC패키지",2022-08-23,0,https://static.inven.co.kr/column/webzine3/gamelogo/2021/i15135537880.jpg
46,소울 해커즈2,Soul Hackers2, RPG, 아틀러스, SEGA퍼블리싱코리아," PS, PC패키지",2022-08-25,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8202269860.jpg
47,라스트 오브 어스 파트1,The Last of Us Part 1, RPG, 너티독, 소니 인터랙티브 엔터테인먼트 코리아," PS, PC패키지",2022-09-02,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8256246674.jpg
48,티메시아,Thymesia, 액션, 오버보더 스튜디오, 에이치투 인터렉티브," PS, XBOX, switch, 인디, PC패키지",2022-08-18,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8247934943.jpg
49,토탈워: 워해머3,TOTAL WAR: WARHAMMER3, 시뮬레이션, 크리에이티브 어셈블리, 세가, PC패키지,2022-02-17,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8280192276.jpg
50,컬트 오브 더 램,Cult of the lamb, RPG, 매시브 몬스터, 디볼버 디지털," PS, XBOX, switch, PC패키지", -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2021/i13508304485.jpg
51,룬텔러,Rune Teller, RPG, 코드라이프, 코드라이프," 인디, PC패키지",1905-07-14,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8295950964.jpg
52,로스트 인 플레이,Lost in Play, 어드벤쳐, 해피 쥬스 게임즈, 해피 쥬스 게임즈, PC패키지,2022-08-11,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8298984175.jpg
53,타워 오브 판타지,Tower of Fantasy, RPG, 퍼펙트 월드, 퍼펙트 월드," PC온라인, 모바일",2022-08-11,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8293539119.jpg
54,롤러드롬,Rollerdrome, 슈팅, -, 프라이빗 디비전," PS, PC패키지",2022-08-16,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8238359623.png
55,투 포인트 캠퍼스,TWO POINT CAMPUS, 시뮬레이션, 투 포인트 스튜디오, SEGA퍼블리싱코리아," PS, XBOX, switch, PC패키지",2022-08-10,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8221776134.jpg
56,기가배쉬,GigaBash, 액션, 패션 리퍼블럭 게임즈, 패션 리퍼블럭 게임즈," PS, XBOX, switch, PC패키지", -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8221675680.jpg
57,마블 스파이더맨 리마스터,Marvel's Spider-man Remastered, 액션, 인섬니악게임즈, 소니 인터랙티브 엔터테인먼트 코리아, PC패키지,2022-08-13,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8251682288.jpg
58,제노블레이드 크로니클스3,Xenoblade Chronicles3, RPG, 모노리스, 한국닌텐도, switch,2022-07-29,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8281794977.jpg
59,디지몬 서바이브,Digimon Survive, RPG, 반다이남코, 반다이남코," PS, XBOX, switch, PC패키지",2022-07-28,0,https://static.inven.co.kr/column/webzine3/gamelogo/2018/i13982509655.jpg
60,더 타니싱 오브 유스티아,The Tarnishing of Juxtia, 액션, 액추얼 너드, 액추얼 너드, PC패키지,2022-07-27,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8266932332.jpg
61,라이브 어 라이브,LIVE A LIVE, RPG, 스퀘어에닉스, 한국닌텐도, switch,2022-07-22,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8217600733.jpg
62,파워워시 시뮬레이터,Powerwash Simulator, 시뮬레이션, -, 스퀘어에닉스," XBOX, PC패키지",2022-07-14,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8242861845.jpg
63,열혈삼국지,River City Saga: Three Kingdoms, RPG, -, 아크시스템웍스," PS, switch, PC패키지",2022-07-21,0,https://static.inven.co.kr/column/webzine3/gamelogo/2021/i8237582928.jpg
64,캡콤 아케이드 세컨드 스타디움,Capcom Arcade 2nd Stadium, 기타, 캡콤, 캡콤," PS, XBOX, switch, PC패키지",2022-07-22,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8266739739.jpg
65,신 하야리가미3,Shin Hayarigami3, 어드벤쳐, 니폰이치 소프트웨어, 니폰이치 소프트웨어," PS, switch",2022-07-28,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8249992010.jpg
66,애즈 더스크 폴즈,As Dusk Falls, 기타, INTERIOR/NIGHT, Xbox Game Studios," XBOX, PC패키지",2022-07-19,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8295461887.jpg
98,소다 크라이시스,Soda Crisis, 액션, 팀 소다, 빌리빌리, PC패키지,2022-05-24,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8210778385.jpg
99,우무란기 제너레이션 스페셜 에디션,Umurangi Generation Special Edition, 어드벤쳐, Origame Digital, PLAYISM," XBOX, switch, PC패키지",2022-05-17,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8202471383.png
100,백 년의 봄날은 가고,The Centennial Case: A Shijima Story, RPG, 스퀘어에닉스, 스퀘어에닉스," PS, switch, PC패키지",2022-05-12,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8291714780.jpg
101,더 포가튼 시티,The Forgotten City, 어드벤쳐, Modern Storyteller, Plug In digital," PS, XBOX, switch, PC패키지",2021-07-27,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8201467581.jpg
102,기번: 비욘드 더 트리즈,Gibbon: Beyond the Trees, 어드벤쳐, Broken Rules, Broken Rules, PC패키지,2022-05-19,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8276407417.jpg
103,짱구는 못말려! 나와 박사의 여름방학 ~끝나지 않는 7일간의 여행~,-, 어드벤쳐, 네오스, 닌텐도, switch,2021-07-25,0,https://static.inven.co.kr/column/webzine3/gamelogo/2021/i13260163024.jpg
104,루트 리버,Loot River, 액션, 스트라카 스튜디오, 스트라카 스튜디오, PC패키지,2021-05-04,0,https://static.inven.co.kr/column/webzine3/gamelogo/2021/i8230780658.jpg
105,백영웅전 라이징,Eiyuden Chronicle: Rising, 액션, 나츠메아타리, 505 게임즈," PS, XBOX, switch, PC패키지",2022-05-11,0,https://static.inven.co.kr/column/webzine3/gamelogo/2021/i14303616949.jpg
106,트랙 투 요미,Trek to Yomi, 액션, 플라잉 와일드 호그, 디볼버 디지털," PS, XBOX, PC패키지",2022-05-05,0,https://static.inven.co.kr/column/webzine3/gamelogo/2021/i8272721541.jpg
107,로그 레거시2,Rogue Legacy2, 액션, Cellar Door Games, Cellar Door Games," XBOX, 인디, PC패키지",2022-04-29,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8272464715.png
108,닌텐도 스위치 스포츠,Nintendo Switch Sports, 스포츠, 닌텐도, 한국닌텐도, switch,2022-04-29,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8283299368.jpg
109,콤비네라,Kombinera, 퍼즐, Graphite Lab, 아타리, PC패키지,2022-04-07,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8209668291.jpg
110,언소울드,Unsouled, 액션, 메구스타게임즈, 네오위즈," XBOX, switch, PC패키지",2022-04-28,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8260218196.jpg
111,워핍스,Warpips, RTS, Skirmish Mode Games, 데달릭 엔터테인먼트," 인디, PC패키지",2022-04-22,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8228630374.jpg
112,기기괴계 검은 망토의 수수께끼,-, 슈팅, 나츠메아타리, SEGA퍼블리싱코리아, switch,2022-04-21,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8284842681.jpg
113,루모트,LUMOTE, 퍼즐, 루민어썸 게임즈, 에이치투 인터렉티브," PS, switch, 인디, PC패키지",2022-04-21,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8256471071.jpg
114,파: 변화의 파도,FAR: Changing Tides, 어드벤쳐, Okomotive, 프론티어 파운드리," PS, XBOX, switch, 인디, PC패키지",2022-03-01,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8261193823.jpg
115,타이니 티나의 원더랜드,Tiny Tina’s Wonderlands, RPG, 기어박스 소프트웨어, 2K Games," PS, XBOX, PC패키지",2022-03-25,0,https://static.inven.co.kr/column/webzine3/gamelogo/2021/i15789219338.jpg
116,레고 스타워즈: 스카이워커 사가,-, 어드벤쳐, TT게임즈, WB 게임즈," PS, XBOX, switch, PC패키지",2022-04-05,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8269473851.jpg
117,수호신,Suhoshin, 기타, 노 모어 500, 노 모어 500," 인디, PC패키지",2022-04-14,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8273755992.jpg
118,다잉라이트2 스테이 휴먼,Dying Light 2 Stay Human, 액션, Techland, Techland," PS, XBOX, PC패키지",2022-02-04,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8226837078.jpg
119,섀도우 워리어 3,Shadow Warrior 3, FPS, Flying Wild Hog, 디볼버 디지털," PS, XBOX, PC패키지",2022-03-02,0,https://static.inven.co.kr/column/webzine3/gamelogo/2020/i8223320140.png
120,슈레더스,Shredders, 스포츠, FoamPunch, FoamPunch," 모바일, XBOX, PC패키지",2022-03-17,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8266117910.jpg
121,고스트와이어: 도쿄,GhostWire: Tokyo, 어드벤쳐, 탱고 게임웍스, 베데스다 소프트웍스," PS, PC패키지",2022-03-25,0,https://static.inven.co.kr/column/webzine3/gamelogo/2019/i15621326152.jpg
122,엘든 링,Elden Ring, 액션, 프롬소프트웨어, 반다이남코 엔터테인먼트," PS, XBOX, PC패키지",2022-02-25,0,https://static.inven.co.kr/column/webzine3/gamelogo/2021/i15407330680.jpg
123,스트레인저 오브 파라다이스 파이널 판타지 오리진,STRANGER OF PARADISE: FINAL FANTASY ORIGIN, RPG, 팀 닌자 스튜디오, 코에이테크모," PS, XBOX, PC패키지",2022-03-18,0,https://static.inven.co.kr/column/webzine3/gamelogo/2021/i13871548203.png
124,튜닉,Tunic, 어드벤쳐, Finji, -," XBOX, PC패키지",2022-03-17,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8244940114.jpg
125,오비탈 불릿,Orbital Bullet, 액션, 스모크스탭, 어셈블 엔터테인먼트, PC패키지,2022-03-23,0,https://static.inven.co.kr/column/webzine3/gamelogo/2021/i8209534440.jpg
126,초코보 GP,Chocobo GP, 레이싱, 스퀘어에닉스, 스퀘어에닉스, switch,2022-03-10,0,https://static.inven.co.kr/column/webzine3/gamelogo/2021/i8224964499.png
127,팬텀 브레이커: 옴니아,Phantom Breaker: Omnia, 액션, MAGES, 로켓 판다 게임즈," PS, switch, PC패키지",2022-03-15,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8228716811.jpg
128,더 킹 오브 파이터즈 XV,-, 액션, SNK, SNK," PS, XBOX, PC패키지",2022-02-17,0,https://static.inven.co.kr/column/webzine3/gamelogo/2020/i14140788879.jpg
129,기원: 변이,ANNO: Mutationem, 액션, ThinkingStars, 라이트닝 게임즈," PS, 인디, PC패키지",2022-03-17,0,https://static.inven.co.kr/column/webzine3/gamelogo/2019/i13821682736.jpg
130,매그램 로드/마검 이야기,MAGLAM LORD, RPG, -, SEGA퍼블리싱코리아," PS, switch",2022-02-24,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8267447609.jpg
131,히어로즈 아워,Hero's Hour, RPG, ThingOnItsOwn, Goblinz Publishing, PC패키지,2022-03-10,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8297401441.jpg
132,건볼트 크로니클: 루미너스 어벤저 iX 2,Gunvolt Chronicles: Luminous Avenger iX 2, 액션, INTI 크리에이츠, INTI 크리에이츠," PS, XBOX, switch, PC패키지",2022-01-27,0,https://static.inven.co.kr/column/webzine3/gamelogo/2021/i8297686897.png
133,레인보우 식스 익스트랙션,Rainbow Six Extraction, FPS, 유비소프트, 유비소프트," PS, XBOX, PC패키지",2022-01-20,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8268171998.png
134,이토라,ITORAH, 액션, 그림바트 테일즈, -," 인디, PC패키지", -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8293292805.png
135,하우스 오브 더 데드: 리메이크,THE HOUSE OF THE DEAD: Remake, 슈팅, 포에버엔터테인먼트, 세가, switch, -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2021/i15336559648.jpg
136,별의 커비 디스커버리,-, 액션, 닌텐도, 닌텐도, switch,2022-03-25,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8240920763.jpg
137,메모어 블루,A Memoir Blue, 어드벤쳐, Cloisters Interactive, 안나푸르나 인터랙티브," PS, XBOX, switch, PC패키지",2022-03-25,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8247451991.jpg
138,WWE 2K22,WWE 2K22, 스포츠, 비주얼 컨셉트, 2K Sports," PS, XBOX, PC패키지",2022-03-11,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8276785097.jpg
139,트라이앵글 스트래티지,TRIANGLE STRATEGY, RPG, 닌텐도, 닌텐도, switch,2022-03-04,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8216506516.jpg
140,크로스파이어X,Crossfire X, FPS, 스마일게이트, 마이크로소프트, XBOX,2022-02-10,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8219727759.jpg
141,호라이즌 포비든 웨스트,Horizon Forbidden West, 어드벤쳐, 게릴라 게임즈, SONY, PS,2022-02-18,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8264219413.jpg
142,포켓몬 레전드 아르세우스,Pokemon Legends Arceus, RPG, 게임프리크, 한국닌텐도, switch,2022-01-28,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8204744251.jpg
143,패트릭의 패러박스,Patrick's Parabox, 퍼즐, Patrick Traynor, Patrick Traynor, PC패키지,2022-03-30,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8292878322.jpg
144,위어드 웨스트,Weird West, 액션, 울프 아이즈 스튜디오, 디볼버 디지털," PS, XBOX, PC패키지",2021-04-01,0,https://static.inven.co.kr/column/webzine3/gamelogo/2021/i8286249319.jpg
145,해브 어 나이스 데스,Have a Nice Death, 액션, Magic Design Studios, 기어박스 소프트웨어, PC패키지,2022-03-09,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8299134738.jpg
146,애퍼처 데스크 잡,Aperture Desk Job, 어드벤쳐, 밸브 코퍼레이션, 밸브 코퍼레이션, PC패키지,2022-03-02,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8279500290.jpg
147,시푸,SIFU, 액션, 슬로크랩, 슬로크랩," PS, PC패키지",2022-02-08,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8203943315.jpg
148,올리올리 월드,OlliOlli World, 스포츠, roll7, 프라이빗 디비전," PS, XBOX, switch, PC패키지",2022-02-09,0,https://static.inven.co.kr/column/webzine3/gamelogo/2021/i14740635835.jpg
149,히든 딥,Hidden Deep, 액션, 코그휠 소프트웨어, 데달릭스튜디오, PC패키지,2021-01-24,0,https://static.inven.co.kr/column/webzine3/gamelogo/2021/i8205451791.png
150,블레이드 어썰트,Blade Assault, 액션, 팀써니트, 네오위즈, PC패키지,2021-06-08,0,https://static.inven.co.kr/column/webzine3/gamelogo/2020/i8225684987.png
151,소피의 아틀리에 2 ~신비한 꿈의 연금술사~,Atelier Sophie 2: The Alchemist of the Mysterious Dream, RPG, 거스트(GUST), 디지털터치," PS, switch, PC패키지",2022-02-24,0,https://static.inven.co.kr/column/webzine3/gamelogo/2021/i8260150532.png
152,MLB The Show 21,-, 스포츠, -, 소니 인터랙티브 엔터테인먼트 코리아, PS,2021-04-20,0,https://static.inven.co.kr/column/webzine3/gamelogo/2021/i13616462792.jpg
153,리레이어,Relayer, 시뮬레이션, 카도카와 게임즈, 클라우디드 레오파드 엔터테인먼트, PS,2022-03-24,0,https://static.inven.co.kr/column/webzine3/gamelogo/2021/i8240145158.png
154,디 어센트,The Ascent, 슈팅, 네온 자이언트, 네온 자이언트," PS, XBOX, PC패키지",2021-07-29,0,https://static.inven.co.kr/column/webzine3/gamelogo/2021/i8224389252.jpg
155,니디 걸 오버도즈,NEEDY GIRL OVERDOSE, 시뮬레이션, why so serius?, why so serius?," 인디, PC패키지",2022-01-21,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8260980826.jpg
156,그란 투리스모 7,Gran Turismo 7, 레이싱, 폴리포니 디지털, 소니컴퓨터엔터테인먼트아메리카, PS,2022-03-04,0,https://static.inven.co.kr/column/webzine3/gamelogo/2020/i8289903607.jpg
157,영웅전설 여의 궤적,The Legend of Heroes: Kuro no Kiseki, RPG, 니혼 팔콤, 클라우디드 레오파드 엔터테인먼트, PS,2022-02-07,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8210864122.jpg
158,영웅전설 섬의 궤적 III,The Legend of Heroes: Trails of Cold Steel III, RPG, 니혼 팔콤, 소니 인터랙티브 엔터테인먼트 코리아," PS, switch, PC패키지",2018-11-15,0,https://static.inven.co.kr/column/webzine3/gamelogo/2021/i8224439787.png
159,이스 IX -몬스트룸 녹스-,Ys IX -Monstrum NOX-, RPG, 니혼 팔콤, 클라우디드 레오파드 엔터테인먼트," PS, switch, PC패키지",2020-02-13,0,https://static.inven.co.kr/column/webzine3/gamelogo/2020/i14599856860.jpg
160,파이널판타지14: 효월의 종언,FINAL FANTASY XIV: ENDWALKER, RPG, 스퀘어에닉스, 스퀘어에닉스," PC온라인, PS",2021-12-07,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8296994725.jpg
67,엔들링,Endling - Extinction is Forever, 어드벤쳐, 핸디게임즈, THQ 노르딕," PS, XBOX, switch, PC패키지",2022-07-19,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8286997820.jpg
68,스트레이,Stray, 어드벤쳐, 블루트웰브 스튜디오, 안나푸르나 인터랙티브," PS, PC패키지",2022-07-20,0,https://static.inven.co.kr/column/webzine3/gamelogo/2020/i8249639348.jpg
69,비포 더 나이트,Before The Night, 어드벤쳐, 언에듀케이티드 게임 스튜디오, 언에듀케이티드 게임 스튜디오," 인디, PC패키지",2022-07-15,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8210292946.png
70,콥스 이터 모험가의 밥상,Cadavers for Dinner, RPG, 니폰이치 소프트웨어, SEGA퍼블리싱코리아," PS, switch",2022-06-30,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8224321336.jpg
71,매디슨,MADiSON, 어드벤쳐, BLOODIOUS GAMES, BLOODIOUS GAMES," PS, XBOX, switch, PC패키지",2022-07-08,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8250614471.jpg
72,XEL,XEL, 액션, 타이니 로어, 어셈블 엔터테인먼트, PC패키지,2022-07-12,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8224176919.jpg
73,개구리 섬에서의 시간,Time on Frog Island, 어드벤쳐, Half Past Yellow, 머지 게임즈," PS, XBOX, switch, PC패키지",2022-07-13,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8243967619.jpg
74,네온 블라이트,Neon Blight, 슈팅, Bleeding Tapes, Freedom Games," 인디, PC패키지", -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8278869093.png
75,바람의 크로노아 1&2 모험의 시작,KLONOA Phantasy Reverie Series, 액션, 반다이남코 엔터테인먼트, 반다이남코 엔터테인먼트," PS, switch, PC패키지",2022-07-07,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8231982253.jpg
76,오버로드: 나자릭으로부터의 탈출,OVERLORD: ESCAPE FROM NAZARICK, 액션, 카도카와 게임즈, -," switch, PC패키지",2022-06-16,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8217336282.jpg
77,궨트: 방랑 마법사,GWENT: Rogue Mage, 기타, CD 프로젝트 RED, CD 프로젝트 RED," 모바일, PC패키지",2022-07-07,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8212606328.jpg
78,염라환생기: 동백전,Yeomna: The Adventures of Demon Hunter, 액션, 캣닢스튜디오, 스마일게이트," 인디, PC패키지",2022-06-24,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8234978553.jpg
79,몬스터헌터 라이즈: 선브레이크,MONSTER HUNTER RISE: SUNBREAK, 액션, 캡콤, 캡콤," switch, PC패키지",2022-06-30,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8279777234.jpg
80,포비아-성 딘프나 호텔,Fobia - St.Dinfna Hotel, 액션, Pulsatrix Studios, maximum Games," PS, XBOX, PC패키지",2022-06-29,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8268128254.jpg
81,컵헤드 - 더 딜리셔스 라스트 코스,Cuphead - The Delicious Last Course, 액션, 스튜디오 MDHR, 스튜디오 MDHR," PS, XBOX, switch, 인디, PC패키지", -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8283589654.png
82,메크 아르마,Mech Armada, 시뮬레이션, Lioncode Games, Lioncode Games," 인디, PC패키지", -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8223354390.jpg
83,파이어 엠블렘 무쌍: 풍화설월,Fire Emblem Warriors: Three Hopes, 액션, 오메가 포스, 한국닌텐도, switch,2022-06-24,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8226780553.jpg
84,산나비,SANNABI: The Revenant, 액션, 원더포션, 네오위즈, PC패키지,2022-06-21,0,https://static.inven.co.kr/column/webzine3/gamelogo/2021/i14214300469.jpg
85,실트,Silt, 어드벤쳐, 스파이럴 서커스 게임, 파이어샤인 게임즈," PS, XBOX, switch, 인디, PC패키지",2022-06-01,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8203904704.webp
86,스타쉽 트루퍼스: 테란 커맨드,Starship Troopers: Terran Command, RTS, The Artistocrats, Slitherine Ltd., PC패키지,2022-06-17,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8285861511.jpg
87,네온 화이트,Neon White, 액션, Angel Matrix, 안나푸르나 인터랙티브," switch, PC패키지",2022-06-17,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8210547847.jpg
88,닌자 거북이: 슈레더의 복수,Teen Mutant Ninja Turtles : Shredder 's Revenge, 액션, 트리뷰트 게임즈, 닷에뮤," PS, XBOX, switch, PC패키지",2022-06-16,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8264998937.jpg
89,마리오 스트라이커즈 배틀 리그,Mario Strikers Battle League, 스포츠, 닌텐도, 한국닌텐도, switch,2022-06-10,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8225846716.jpg
90,뱀파이어: 마스커레이드 - 스완송,Vampire: The Masquerade - Swansong, RPG, 빅 배드 울프, 에이치투 인터렉티브," PS, XBOX, PC패키지",2022-05-19,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8213452586.jpg
91,도로를 고쳐주세요,Please Fix The Road, 퍼즐, Ariel Jurkowski, Ariel Jurkowski, PC패키지,2022-06-11,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8220911975.jpg
92,쿼리,The Quarry, 어드벤쳐, 수퍼매시브 게임즈, 2K Games," PS, XBOX, PC패키지",2022-06-10,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8201329048.jpg
93,디아블로 이모탈,Diablo Immortal, RPG, 넷이즈, 블리자드 코리아," PC온라인, 모바일",2022-06-03,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8251370309.jpg
94,스나이퍼 엘리트5,Sniper Elite 5, 슈팅, 리벨리온, -," PS, XBOX, PC패키지",2022-05-26,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8234484823.jpg
95,원죄집행유희 유루킬,-, 어드벤쳐, 이자나기 게임즈, 아크시스템웍스," PS, switch",2022-05-26,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8269225234.jpg
96,카드 샤크,Card Shark, 퍼즐, Nerial, 디볼버 디지털," switch, PC패키지",2022-06-03,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8216945899.jpg
97,낚시 천국,Fishing Paradiso, 어드벤쳐, 오뎅캣, 오뎅캣," 모바일, switch, PC패키지",2022-06-02,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8292670668.jpg
1,칼리스토 프로토콜,THE CALLISTO PROTOCOL, 어드벤쳐, Striking Distance Studios, 크래프톤," PS, XBOX, PC패키지",2022-12-02,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8232100400.jpg
2,워해머 40K: 다크타이드,Warhammer40K: Darktide, FPS, Fatshark, Fatshark," XBOX, PC패키지",2022-12-01,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8263175668.jpg
