G_IDX,G_NAME,G_ENAME,G_GENRE,G_COMPANY,G_SERVICE,G_PLATFORM,G_DATE,G_SCORE,G_IMG
7606,주식왕,-, 기타, 큐빅 스튜디오, -, 기타, -,0,https://static.inven.co.kr/image/webzine/s3/common/gamedb_165x115_preparing.png
7607,레이시티,Raycity, 레이싱, 제이투엠 소프트, 네오위즈게임즈, PC온라인, -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2008/0316_4181.jpg
7608,신의대륙,-, RPG, NGL, NGL, PC온라인,2013-05-23,0,https://static.inven.co.kr/column/webzine3/gamelogo/2013/1204_1116.jpg
7609,레이더즈,RaiderZ, RPG, 마이에트 엔터테인먼트, 네오위즈게임즈, PC온라인, 2012년 7월 5일 OBT 시작,0,https://static.inven.co.kr/column/webzine3/gamelogo/2012/0217_1949.jpg
7610,헬로히어로 for Kakao,Hello Hero for kakao, RPG, 핀콘, 핀콘," iOS, 모바일, 안드로이드",2013-02-05,0,https://static.inven.co.kr/column/webzine3/gamelogo/2014/0618_5048.jpg
7611,라그나로크 애쉬바쿰,Ragnarok Ash Vaccum, 시뮬레이션, 그라비티, 그라비티," 모바일, 안드로이드",2013-09-01,0,https://static.inven.co.kr/image/webzine/s3/common/gamedb_165x115_preparing.png
7612,닌자 래쓰,Ninja Wrath, 액션, 슬러시, -, 모바일, -,0,https://static.inven.co.kr/image/webzine/s3/common/gamedb_165x115_preparing.png
7613,명품 온라인,-, RPG, 킹소프트, IMI, PC온라인, -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2011/1220_4554.jpg
7614,타워 오브 오딘,-, 퍼즐, 퍼니비소프트, 하이원엔터테인먼트," iOS, 모바일, 안드로이드", -,0,https://static.inven.co.kr/image/webzine/s3/common/gamedb_165x115_preparing.png
7615,괴인럼블,-, TCG, 컴투스홀딩스, -," iOS, 모바일, 안드로이드", -,0,https://static.inven.co.kr/image/webzine/s3/common/gamedb_165x115_preparing.png
7616,떳다!떳다!비행기 for Kakao,-, 슈팅, 써니사이드업 소프트, 넷마블게임즈," iOS, 모바일, 안드로이드", -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2013/1226_3015.jpg
7617,구룡전,-, RPG, 게임웨이브, IMI, 웹브라우저, -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2013/1226_5533.jpg
7618,저스트 코즈 2,Just Cause 2, 액션, 아란발체 소프트웨어, 인트라게임즈," PS3, XBOX360", -,0,https://static.inven.co.kr/image/webzine/s3/common/gamedb_165x115_preparing.png
7619,마블 올스타 배틀,-, 액션, 카밤, 카밤," iOS, 모바일, 안드로이드", -,0,https://static.inven.co.kr/image/webzine/s3/common/gamedb_165x115_preparing.png
7620,DJ MAX 테크니카3,-, 리듬액션, 펜타비전, -, 기타, -,0,https://static.inven.co.kr/image/webzine/s3/common/gamedb_165x115_preparing.png
7621,딜라이트,D’Light, RPG, 이야소프트, 이야소프트, PC온라인, -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2010/0901_4030.jpg
7622,월드 오브 워플레인,World of warplanes, 슈팅, 워게이밍 코리아, 워게이밍 코리아, PC온라인,2013-11-13,0,https://static.inven.co.kr/column/webzine3/gamelogo/2013/1204_5124.png
7623,삼국지 군영전,-, RPG, 엔탑커뮤니케이션, 엔탑커뮤니케이션," iOS, 모바일, 안드로이드", 2014년 06월,0,https://static.inven.co.kr/column/webzine3/gamelogo/2014/0623_5722.jpg
