G_IDX,G_NAME,G_GENRE,G_COMPANY,G_SERVICE,G_PLATFORM
9294,싸이한대맞고,보드,엔트리브소프트,엔트리브소프트,모바일
10106,쯔바이 온라인,RPG,네온소프트,위메이드,PC온라인
10107,아이엘 : 소울브링거,RPG,엔플레버,엔플레버,PC온라인
10108,디노마키아,액션,넷돌,엔트리브소프트,PC온라인
10109,데빌메이크라이3,액션,캡콤,캡콤,PS2
10110,던전앤파이터 히어로즈 (SKT),RPG,네오위즈모바일,네오위즈모바일,모바일
10111,플라이팬,레이싱,나인휠스,나인휠스,PC온라인
10112,위기일발 막장가족,액션,네오위즈모바일,KTH,모바일
10113,두뇌혁명 한글 (SKT),퍼즐,네오액트,소리나무엔터테인먼트,모바일
10114,펀치몬스터,RPG,넥스트플레이,엔씨소프트,PC온라인
10115,당구매니아,스포츠,NHN 엔터테인먼트,NHN 엔터테인먼트,PC온라인
10116,스파이더맨3 (PS2),기타,액티비전,액티비전,PC온라인
10117,맨헌트2,액션,락스타 게임즈,Take Two Interative (테이크 투 인터랙티브),PS2/ PSP/ Wii
10118,막장가족,기타,네오위즈모바일,네오위즈모바일,기타
10119,유캔댄스 온라인,액션,아이디어스,아이디어스,PC온라인
10120,메탈기어솔리드4,액션,코나미,코나미,PS3
10121,퍼펙트케이오,액션,띵소프트,네오위즈게임즈,PC온라인
10122,역전재판,어드벤쳐,캡콤,넥슨 모바일,모바일
10123,닭치고 알까 (SKT),보드,블루인터렉티브,소리나무엔터테인먼트,모바일
10124,바이오쇼크,FPS,액티비전,액티비전,PC패키지/ PS3/ XBOX360
10125,제리코 (X360),기타,머큐리 스팀 엔터테인먼트,코드마스터즈,XBOX/ XBOX360
10126,타이탄 온라인,RPG,이야소프트,이야소프트,PC온라인
10127,터닝포인트: 폴 오브 리버티,FPS,스파크 언리미티드,코드마스터즈,PC패키지
10128,슈렉3 (PSP),기타,액티비전,액티비전,PSP/ NDS
10129,트랜스포머: 더 게임(PS2),기타,액티비전,액티비전,PS2/ PS3
10130,C&C3 확장팩 케인의 분노,시뮬레이션,일렉트로닉아츠,일렉트로닉아츠,PC패키지
10131,GTA 샌 안드레아스,액션,락스타 게임즈,액티비전,PS/ XBOX/ PC패키지
10132,디-워,액션,3D 렐름스,모바일데이,모바일
10133,스팅 아케이드,FPS,YNK코리아,YNK코리아,PC온라인
10134,트랜스포머: 더 게임(PS3),기타,액티비전,액티비전,PS2/ PS3
10135,무한맞고,보드,엠드림,엠드림,모바일
10136,타임쉬프트 (X360),기타,Saber Interactive,시에라,XBOX/ XBOX360
10137,타임쉬프트,FPS,Saber Interactive,시에라,PC패키지/ XBOX360
10138,디지몬RPG,RPG,무브게임즈,무브게임즈,PC온라인
10139,에스카토스,슈팅,어니언 엔터테인먼트,어니언 엔터테인먼트,PC온라인
10140,프로젝트MV,RPG,엔클립스,넥슨,PC온라인
10141,프로젝트X,FPS,비즈피오컴,비즈피오컴,PC온라인
10142,RAGE,FPS,이드 소프트웨어,베데스다 소프트웍스,PC패키지/ PS3/ XBOX360
10143,몬스터헌터 프리덤2,액션,캡콤,소니 인터랙티브 엔터테인먼트 코리아,PSP
10144,삼국지DS,시뮬레이션,코에이테크모,코에이테크모,NDS
10145,Project Offset,FPS,Offset Software,Offset Software,PC패키지
8854,바디&브레인,기타,반다이남코 엔터테인먼트,인트라게임즈,XBOX360
8855,액션퍼즐패밀리4,RPG,컴투스,컴투스,모바일
8856,강호협객전,RPG,블랙스톤,블랙스톤,웹브라우저
8857,무게타,RPG,엔타즈,엔타즈,iOS
8858,워 오브 드래곤즈,RPG,엠게임,엠게임,PC온라인
8859,트라비아2,RPG,재미인터랙티브,-,PC온라인
8860,요! 수다,기타,LG U+,LG U+,웹브라우저
8861,Wii 피트 플러스,스포츠,닌텐도,한국닌텐도,Wii
8862,아이뮤지션2,RPG,컴투스,-,모바일
